Using 127 training examples.
Using 23 evaluation examples.
28.26 GradientBoostingClassifier 25 None
28.70 GradientBoostingClassifier 50 None
29.13 GradientBoostingClassifier 100 None
29.13 GradientBoostingClassifier 200 None
36.96 GradientBoostingClassifier 25 log2
39.57 ParallelRandomForestClassifier 50 log2
40.87 ParallelRandomForestClassifier 25 None
42.61 GradientBoostingClassifier 25 sqrt
43.91 ParallelExtraTreesClassifier 25 sqrt
43.91 ParallelRandomForestClassifier 25 sqrt
44.78 GradientBoostingClassifier 50 log2
44.78 ParallelExtraTreesClassifier 25 log2
44.78 ParallelRandomForestClassifier 25 log2
45.65 ParallelRandomForestClassifier 50 sqrt
46.09 ParallelRandomForestClassifier 500 log2
46.52 ParallelRandomForestClassifier 100 log2
46.96 GradientBoostingClassifier 50 sqrt
46.96 ParallelExtraTreesClassifier 50 log2
47.83 ParallelRandomForestClassifier 100 sqrt
47.83 ParallelRandomForestClassifier 200 log2
47.83 ParallelRandomForestClassifier 300 log2
47.83 ParallelRandomForestClassifier 50 None
48.70 ParallelExtraTreesClassifier 25 None
49.13 GradientBoostingClassifier 100 sqrt
49.13 GradientBoostingClassifier 200 sqrt
49.13 ParallelExtraTreesClassifier 100 log2
49.57 GradientBoostingClassifier 100 log2
49.57 GradientBoostingClassifier 200 log2
50.00 ParallelExtraTreesClassifier 50 None
50.00 ParallelExtraTreesClassifier 50 sqrt
50.43 ParallelRandomForestClassifier 100 None
52.17 ParallelRandomForestClassifier 500 sqrt
53.04 ParallelRandomForestClassifier 200 sqrt
53.04 ParallelRandomForestClassifier 300 sqrt
53.48 ParallelExtraTreesClassifier 100 sqrt
54.35 ParallelExtraTreesClassifier 200 None
54.35 ParallelExtraTreesClassifier 500 None
54.78 ParallelExtraTreesClassifier 200 log2
54.78 ParallelExtraTreesClassifier 300 None
54.78 ParallelExtraTreesClassifier 500 log2
54.78 ParallelRandomForestClassifier 200 None
55.22 ParallelExtraTreesClassifier 100 None
55.22 ParallelRandomForestClassifier 300 None
56.09 ParallelExtraTreesClassifier 300 log2
56.09 ParallelRandomForestClassifier 500 None
56.96 ParallelExtraTreesClassifier 200 sqrt
57.39 ParallelExtraTreesClassifier 300 sqrt
57.39 ParallelExtraTreesClassifier 500 sqrt
